index,r,l,t
0,-1071.587028,295,155.31300806999207
1,-629.537131,35,182.6916000843048
2,-902.937161,161,274.30937004089355
3,-1058.995041,291,441.24711203575134
4,-1940.207362,531,730.1713540554047
5,-879.758443,123,811.4238939285278
6,-601.447071,33,837.769257068634
7,-839.962058,207,952.8284320831299
8,-553.025446,15,969.9990739822388
9,-1516.900773,358,1147.4940121173859
10,-578.711561,29,1171.7683629989624
11,-523.304149,5,1192.893548965454
12,799.159997,96,1250.8001871109009
13,-669.478359,79,1295.5811929702759
14,-530.339177,7,1308.6906011104584
15,-673.361544,129,1383.8426311016083
16,-779.979693,127,1467.1056520938873
17,-641.707522,45,1499.6727499961853
18,-516.044873,3,1511.7410390377045
19,-574.045406,36,1540.1347661018372
20,-554.29332,19,1559.3518788814545
21,-532.811098,17,1577.569416999817
22,-1045.729771,205,1691.5023410320282
23,-626.447113,77,1740.2114009857178
24,-676.737756,74,1784.9238119125366
25,-754.500927,101,1845.9500489234924
26,-557.659333,13,1871.1465320587158
27,-528.314087,7,1893.308347940445
28,-617.417011,43,1924.7742130756378
29,-590.14471,65,1967.3800430297852
30,-570.979733,32,1990.6309270858765
31,-629.933572,57,2038.238065958023
32,-711.287628,101,2099.26895403862
33,-552.06334,19,2127.522036075592
34,-525.430565,7,2140.617770910263
35,-525.874167,7,2153.727298974991
36,-722.459595,111,2219.779103040695
37,-524.9696,7,2232.858794927597
38,-543.898464,23,2254.07359790802
39,-697.173679,63,2304.7665119171143
40,-580.311836,21,2324.997992992401
41,-535.813831,11,2340.15300989151
42,-531.108507,11,2355.2759940624237
43,-1299.414588,283,2509.0752420425415
44,-557.204941,15,2526.265394926071
45,-525.617326,9,2540.3946709632874
46,-521.562349,11,2555.532310962677
47,-540.518549,33,2581.8780069351196
48,-550.212215,15,2599.0391058921814
49,-532.00552,9,2613.140197992325
50,-596.781763,27,2646.369110107422
51,-618.829237,29,2670.719477891922
52,-524.26997,7,2683.8255989551544
53,-563.05231,59,2723.4194810390472
54,-669.660997,59,2772.051623106003
55,-734.031443,93,2828.930650949478
56,-557.579084,11,2844.075254917145
57,-545.044943,11,2859.207757949829
58,-962.136705,219,2973.2921199798584
59,-532.64956,27,3005.6160941123962
60,-1131.332279,263,3144.0578870773315
61,-1269.257397,283,3297.864252090454
62,-2431.110242,515,3578.882814884186
63,-571.419335,19,3598.126154899597
64,-516.487262,7,3611.218871116638
65,-651.125704,96,3656.941885948181
66,-592.852341,29,3690.2908198833466
67,-524.198745,7,3703.4025440216064
68,-528.654038,11,3718.551239013672
69,-1562.696013,355,3896.727438926697
70,-723.426867,95,3954.647533893585
71,-644.983943,51,3990.1379930973053
72,-1111.418646,273,4138.73398900032
73,-520.812753,7,4151.842578887939
74,-539.14148,17,4170.0555539131165
75,-527.543249,9,4184.18332195282
76,-519.47927,7,4197.290946006775
77,-1991.269982,372,4393.77842092514
78,-555.008662,17,4411.967381954193
79,-946.08338,229,4538.35472202301
80,-512.621864,3,4550.424330949783
81,-891.416241,310,4718.405637025833
82,-565.476587,17,4736.5970458984375
83,-533.552337,9,4750.708329916
84,-1109.564362,193,4848.492232084274
85,-2059.659273,563,5119.703591108322
86,-632.150698,51,5164.227891921997
87,-754.842866,91,5220.0904109478
88,-604.728519,25,5242.316987037659
89,-582.684277,31,5276.660418987274
90,-5221.887045,1215,5900.165920972824
91,-1811.968204,471,6150.714015007019
92,-544.653581,25,6182.018488883972
93,-1096.46105,218,6300.084244966507
94,-2436.357703,556,6590.290498018265
95,-1468.101033,416,6809.326730966568
96,-530.595128,7,6822.427349090576
97,-1767.502385,297,6983.183304071426
98,-1206.238634,252,7118.583661079407
99,-690.26278,71,7173.277678966522
100,-566.851468,15,7199.484699964523
101,-563.376879,23,7229.7469980716705
102,-2708.818611,513,7510.78493309021
103,-631.23485,111,7576.853327035904
104,-2150.613986,677,7940.47810292244
105,-524.029143,5,7961.567987918854
106,223.932748,328,8137.555144071579
107,-1011.896853,219,8253.489166021347
108,-658.088403,42,8281.899010896683
109,-547.396781,13,8307.102804899216
110,-1058.496796,280,8448.545130968094
111,-1722.444841,561,8748.694065093994
112,-2666.622984,801,9156.166153907776
113,-674.846293,63,9206.798553943634
114,-2945.15394,631,9538.552752017975
115,-2718.871118,505,9806.404750108719
116,-852.244461,145,9898.826813936234
117,-538.052694,13,9914.967622041702
118,-539.811239,11,9930.09714603424
119,-524.602043,7,9943.206018924713
120,-587.553788,40,9968.562844991684
121,-632.114893,47,10003.998524904251
122,-538.298872,13,10018.129085063934
123,-522.062416,7,10032.246323108673
124,-542.706385,15,10047.378160953522
125,-601.232558,41,10072.701081037521
126,-2373.706813,561,10359.638035058975
127,-2993.124222,693,10723.287087917328
128,956.555286,20,10742.473982095718
129,-830.597977,151,10823.890336990356
130,-578.81807,31,10858.247946977615
131,-539.430587,11,10873.404983997345
132,-524.733504,7,10886.502384901047
133,-552.381028,15,10903.676197052002
134,-642.438046,53,10935.125283956528
135,-519.991341,7,10948.250241041183
136,-784.068855,115,11013.265578985214
137,-675.646629,63,11054.877315044403
138,-1090.693805,192,11160.76111292839
139,-557.070966,13,11176.906775951385
140,-3819.992626,955,11679.537307977676
141,-541.562181,9,11693.656908988953
142,-585.662309,33,11719.97964310646
143,-666.310658,99,11779.928400993347
144,-529.026749,13,11796.077717065811
145,-542.057641,15,11813.277925014496
146,-1325.197474,281,11966.876460075378
147,-1194.352192,197,12071.686019897461
148,-877.685195,197,12190.624811887741
149,-575.226594,49,12225.073210000992
150,-533.546839,11,12240.198623895645
151,-547.261806,17,12258.387202978134
152,-533.627577,13,12283.556442022324
153,-653.681254,53,12329.082581043243
154,-690.48667,67,12372.703612089157
155,-943.951903,137,12451.939904928207
156,-3228.77808,1171,13058.074953079224
157,-522.345623,7,13071.152944087982
158,-582.9815,35,13098.490402936935
159,-566.803296,17,13117.733319997787
160,-597.98676,37,13155.122550964355
161,-1289.657679,279,13315.943671941757
162,-553.044756,11,13331.081811904907
163,-548.039412,11,13346.221596002579
164,-790.294001,155,13443.859399080276
165,-1073.409331,341,13636.205970048904
166,-547.857636,13,13652.357621908188
167,-641.905646,65,13694.994791984558
168,-573.405754,25,13717.29236292839
169,861.445027,158,13806.69791507721
170,-628.479397,109,13866.694545984268
171,-554.216993,15,13883.86820101738
172,-557.893194,21,13904.07979798317
173,-1374.518379,211,14015.9787940979
174,-559.987614,18,14032.160151958466
175,-2752.017881,1017,14553.702826976776
176,-524.21841,5,14574.825030088425
177,-2623.527825,977,15060.360582113266
178,-835.887199,151,15141.729437112808
179,-4473.922831,1131,15728.906598091125
180,-637.0303,91,15793.792979001999
181,-4124.107563,1257,16443.653301000595
182,-600.346669,53,16481.28335905075
183,-937.736098,193,16589.09914302826
184,-2757.001503,531,16877.929866075516
185,-2551.099678,553,17178.04478788376
186,-2738.048406,684,17527.53715801239
187,-617.95239,39,17556.933237075806
188,-1393.576795,409,17775.55693411827
189,-543.996552,11,17790.6995780468
190,-554.309792,17,17808.893091917038
191,-522.870974,7,17821.987193107605
192,-656.802075,57,17869.46720290184
193,-1498.395735,541,18154.660972118378
194,-549.945359,13,18170.844703912735
195,-640.921299,79,18220.669528007507
196,-556.062413,13,18236.816284894943
197,-660.680825,89,18300.766417980194
198,-744.855138,135,18388.059851884842
199,-1127.415712,205,18510.98062801361
200,-558.952813,13,18527.14520096779
201,-532.624067,11,18542.27284693718
202,-536.307982,11,18566.43563389778
203,-2505.629615,501,18834.21021795273
204,-608.799145,27,18857.4955599308
205,-3671.96083,725,19231.539407014847
206,-545.543426,7,19244.642424106598
207,-661.097247,75,19292.40616798401
208,-556.54972,19,19311.617274045944
209,-630.646904,49,19346.108777999878
210,-527.489938,7,19359.21297597885
211,-777.614431,105,19422.206962108612
212,-747.11631,153,19509.708004951477
213,-1132.779441,329,19686.694802045822
214,-525.976388,7,19699.796782016754
215,-522.670944,7,19712.894988059998
216,-560.476159,29,19737.225312948227
217,-590.972885,35,19757.495125055313
218,-531.80206,11,19781.68409395218
219,-541.134705,15,19798.841703891754
220,-599.555692,42,19825.220096111298
221,-560.61486,35,19848.524010896683
222,-641.460408,47,19881.9618639946
223,-703.956494,65,19933.689894914627
224,-784.146125,83,19985.46292591095
225,-547.745168,13,20001.628612041473
226,-525.042551,7,20014.733867883682
227,-2190.423136,647,20354.505155086517
228,-1750.253606,469,20609.073882102966
229,-739.806121,103,20670.681943893433
230,-3803.778716,873,21110.995136976242
231,-1245.088358,330,21266.680810928345
232,-1061.531881,311,21434.604059934616
233,-3303.813826,1244,22084.582793951035
234,-1414.587166,235,22213.745142936707
235,-1903.034424,359,22407.026034116745
236,-1393.956593,240,22533.154427051544
237,-985.043364,200,22636.90282201767
238,-564.172981,23,22658.143852949142
239,-674.777542,83,22709.96624302864
240,-932.349884,171,22806.350214004517
241,-1822.538468,369,22984.533000946045
242,-543.95658,7,22997.63795208931
