index,r,l,t
0,-1554.241092,183,191.50288605690002
1,-1012.068949,3,204.16062307357788
2,-1026.117954,7,220.9616711139679
3,-1013.024974,3,233.61547899246216
4,-1178.462183,63,317.0963599681854
5,-1010.891962,3,329.7365128993988
6,-1028.90997,17,365.78290009498596
7,-1046.2211,13,388.73286294937134
8,-1038.966761,19,426.88065695762634
9,-1020.622102,7,443.61853408813477
10,-1083.304684,41,495.40814995765686
11,-1014.381653,3,508.0348250865936
12,-1024.735271,5,522.7637898921967
13,-1046.911368,37,579.4333469867706
14,-1014.559557,3,592.0665431022644
15,-1010.106624,3,613.8031051158905
16,-1018.971439,9,633.5918970108032
17,-1012.681287,5,648.2922959327698
18,-3374.168325,327,994.6625421047211
19,-1038.765004,9,1013.4369220733643
20,-1124.47243,81,1121.4113368988037
21,-3044.168674,423,1565.6644670963287
22,-1031.924772,7,1582.4176700115204
23,-1025.001913,5,1606.1118099689484
24,-1020.104858,5,1629.8551859855652
25,-6186.292815,743,2404.4675669670105
26,-1031.356014,7,2422.218018054962
27,-1023.465816,5,2437.9314889907837
28,-1864.16795,123,2575.0521988868713
29,-1416.64054,47,2642.895922899246
30,-1054.125841,5,2658.586128950119
31,-1028.243645,3,2672.2201669216156
32,-1028.091755,3,2685.857784986496
33,-1055.021069,7,2703.574506998062
34,-1027.027717,3,2717.2088100910187
35,-1034.685115,3,2730.846738100052
36,-1026.910568,3,2744.488310098648
37,-1022.273105,3,2758.1244039535522
38,-1024.772338,3,2771.7714369297028
39,-1059.28194,7,2789.5311799049377
40,-1039.256426,7,2806.288978099823
41,-1316.362713,95,2913.5351889133453
42,-1011.995755,3,2935.1797790527344
43,-1019.918768,7,2967.008588075638
44,-1016.058945,3,2979.6275799274445
45,-1032.03555,17,3006.6381990909576
46,-1011.169261,3,3019.2723050117493
47,-1013.15332,3,3031.904977083206
48,-1022.623835,5,3046.6193449497223
49,-1011.167568,3,3059.2631781101227
50,-1011.488252,3,3071.8868401050568
51,-1080.562969,29,3120.2976319789886
52,-1021.059631,7,3146.070456981659
53,-1030.196998,7,3171.8642399311066
54,-1098.646245,41,3223.596621990204
55,-1004.768514,1,3244.1782610416412
56,-1005.796338,2,3257.271572113037
57,-1099.129959,28,3296.113079071045
58,-1020.134694,5,3310.785842895508
59,-1010.688349,3,3323.4600489139557
60,-1227.188746,111,3474.1179530620575
61,-1013.173739,3,3486.742532968521
62,-1017.728961,5,3501.4183559417725
63,-1018.28623,5,3516.0767040252686
64,-1069.437851,29,3564.455519914627
65,-1015.008161,3,3577.0891149044037
66,-1011.257121,3,3589.742084980011
67,-1018.87096,5,3604.4285550117493
68,-1008.624757,3,3617.0277030467987
69,-1009.558232,3,3629.6761589050293
70,-1010.366463,11,3650.542067050934
71,-2538.947605,217,3892.2591741085052
72,-2074.187786,233,4141.0088539123535
73,-1122.766722,59,4220.128457069397
74,1996.39098,8,4237.367321014404
75,-1354.778179,113,4358.120459079742
76,-1036.000999,11,4378.969094991684
77,-2837.539543,423,4823.211534023285
78,-1229.80724,81,4924.762809991837
79,-1241.236132,67,5012.223849058151
80,-1036.962714,25,5056.503408908844
81,1984.495271,8,5073.763710021973
82,-1103.14944,39,5118.352010965347
83,-1243.649013,55,5184.706562995911
84,-1027.433024,11,5214.56364107132
85,-1089.450561,35,5260.032838106155
86,-1036.481935,9,5278.829509973526
87,-1443.058281,97,5397.261499881744
88,-2547.564216,271,5694.3715879917145
89,-1017.358968,3,5706.986145019531
90,-1093.21972,23,5749.201845884323
91,-1071.957825,15,5774.173901081085
92,-1008.62997,7,5799.924576044083
93,-1069.377068,27,5846.275115966797
94,-1029.129347,5,5869.999236106873
95,-1029.6959,15,5894.9767010211945
96,-1016.345925,3,5907.604104042053
97,-1028.891568,5,5931.329914093018
98,-1012.99081,3,5953.006756067276
99,-1049.062867,21,5999.221019029617
100,-1013.992421,3,6011.843760967255
101,-1009.36638,5,6035.563508987427
102,-1036.880611,17,6071.616763114929
103,1865.862014,80,6162.897022008896
104,-1550.396451,183,6355.531989097595
105,-1078.015082,15,6380.457202911377
106,-1050.606604,31,6430.872060060501
107,-1049.353429,21,6462.030163049698
108,-1265.829567,55,6528.06538105011
109,1971.352989,12,6549.375221014023
110,-1239.364733,71,6626.730978965759
111,-1046.034324,9,6654.465940952301
112,-1124.719335,41,6714.849128007889
113,-1015.449435,3,6727.438807010651
114,-1747.738475,161,6910.52379488945
115,-1176.474161,125,7047.904314041138
116,-1022.867099,5,7062.56544303894
117,-2105.713414,265,7352.1151349544525
118,-1014.07123,3,7364.729959964752
119,-1058.574935,13,7396.579437017441
120,-1010.911599,3,7409.161546945572
121,-1482.715785,103,7533.081815958023
122,-1042.580543,7,7549.777704954147
123,-1013.695336,3,7562.380945920944
124,-1039.855075,9,7596.242558002472
125,-1030.92313,61,7677.6882910728455
126,-2412.159795,351,8056.714746952057
127,-1049.866718,13,8079.605528116226
128,-1054.23895,19,8117.752737998962
129,-1291.23494,97,8236.099827051163
130,-1041.29003,13,8268.007996082306
131,-1014.030929,3,8280.623872041702
132,-1036.969394,19,8318.727504968643
133,-1017.286838,3,8331.352134943008
134,-1153.796169,69,8420.813023090363
135,1118.732209,240,8676.341804027557
136,-5731.261936,939,9645.31518793106
137,-1617.871404,215,9875.227309942245
138,-1313.337464,155,10043.66382098198
139,-1012.866046,3,10056.293678998947
140,-1660.079697,161,10230.992691993713
141,-2064.701643,397,10656.5338139534
142,-1257.194721,107,10784.677747964859
143,-1281.43171,157,10964.35035610199
144,-1221.987923,71,11055.65828204155
145,-1039.810276,9,11074.412506103516
