index,r,l,t
0,-1611.557365,105,108.00537490844727
1,-1521.410148,3,118.63604807853699
2,-1526.676471,5,139.3709409236908
3,-1553.143073,171,330.8432788848877
4,-1530.381659,5,342.5323529243469
5,-1549.013166,111,472.0418210029602
6,-1606.32189,59,539.1878709793091
7,-1520.201234,5,550.8717570304871
8,-1525.807693,5,562.5285460948944
9,-1573.73358,19,588.598757982254
10,-1517.43632,3,598.213212966919
11,-1622.671435,43,658.0320589542389
12,-1514.807901,3,667.6376960277557
13,-1527.96803,25,699.8858819007874
14,-1517.925622,5,711.5328569412231
15,-1523.674805,5,723.2412118911743
16,-1553.940351,15,746.0833818912506
17,-1529.064721,15,767.9943840503693
18,-1793.852951,165,943.8291940689087
19,-1525.78379,5,964.5691440105438
20,-1551.092336,61,1033.5918459892273
21,-1568.133394,41,1082.1801838874817
22,-1535.169742,3,1091.7785658836365
23,-1586.036514,25,1133.0160789489746
24,-1643.461925,53,1194.0763630867004
25,-1551.157131,33,1234.5450630187988
26,-1555.783567,9,1259.3120739459991
27,-1561.993566,85,1353.213515996933
28,-1592.847822,39,1399.876790046692
29,-1534.713889,5,1411.5873010158539
30,-1522.988443,5,1438.3163149356842
31,-1640.253441,137,1585.730968952179
32,-1506.410256,1,1603.311882019043
33,-1678.689342,202,1817.7062458992004
34,-1637.526916,117,1944.3575620651245
35,-1661.452771,255,2212.8802399635315
36,-1565.660563,59,2279.978849887848
37,1996.934866,1,2297.567384958267
38,-1560.58828,37,2336.1154129505157
39,-1506.226246,71,2415.555144071579
40,-1549.705131,31,2462.767112016678
41,-1544.224995,5,2474.4204800128937
42,-1561.494092,25,2506.625380039215
43,-1633.471634,57,2580.791552066803
44,-1615.118166,89,2678.705153942108
45,-1646.968443,99,2786.661864042282
46,-1574.058681,137,2942.769865989685
47,-1553.795394,35,2994.272134065628
48,-1539.582052,9,3010.0524859428406
49,-1654.222312,77,3095.6584639549255
50,-1512.616725,3,3105.297930955887
51,-1515.159452,3,3114.9091250896454
52,-1514.317344,3,3125.5449900627136
53,-1512.268691,3,3135.182671070099
54,-1573.595006,41,3184.8591771125793
55,-1526.175261,7,3198.6068000793457
56,-1519.977759,5,3219.3195190429688
57,-1573.672469,13,3239.2401959896088
58,-1548.276234,11,3266.205477952957
59,-1526.485696,5,3286.913894891739
60,-1569.607342,25,3319.1640241146088
61,-1550.700208,11,3346.02156996727
62,-1539.601558,19,3371.9846589565277
63,-1534.89444,15,3393.911094903946
64,-1523.727976,5,3414.6067559719086
65,-1579.836962,21,3442.684833049774
66,-1530.97836,23,3472.916074037552
67,-1531.503654,15,3503.86697101593
68,-1542.748949,25,3537.0877969264984
69,-1518.135304,3,3546.702766895294
70,-1553.071155,19,3572.739748954773
71,-1513.13713,3,3582.3778069019318
72,-1535.622427,29,3619.6273860931396
73,-1515.809476,3,3629.256191968918
74,-1511.443505,5,3649.9982759952545
75,-1534.970566,9,3665.783205986023
76,-1663.152163,105,3780.2255380153656
77,-1536.938922,5,3800.9003460407257
78,-1551.213045,65,3874.289132118225
79,-1519.407395,3,3883.9112730026245
80,-1517.002745,3,3893.567200899124
81,-1528.616524,7,3908.303827047348
82,-1523.752596,5,3919.99609708786
83,-1514.109205,3,3930.6059579849243
84,-1581.741493,29,3967.9519259929657
85,-1536.07966,17,3991.949599981308
86,-1568.460614,163,4166.138545036316
87,-1517.634057,3,4175.75576710701
88,-1688.627116,59,4251.89915895462
89,-1605.488123,47,4306.8398859500885
90,-1515.806313,3,4325.487890005112
91,-1520.098267,5,4352.19760799408
92,1737.358772,542,4914.056459903717
93,-1539.990223,7,4922.757548093796
94,-1528.312027,13,4951.691219091415
95,-1559.793587,15,4973.660705089569
96,-1565.028075,13,5002.599719047546
97,-1643.727084,115,5126.803287029266
98,-1630.566329,137,5282.7206490039825
99,-1529.15706,3,5292.355175971985
100,-1526.00752,11,5319.181099891663
101,-1514.789932,3,5328.769201040268
102,-1563.161646,37,5373.176316022873
103,-1543.627674,17,5406.183222055435
104,-1611.186182,35,5448.62631893158
105,-1519.189579,43,5499.331018924713
106,-1539.672525,5,5510.986032962799
107,-1544.218701,5,5531.683933973312
108,-1522.628412,3,5541.317949056625
109,-1541.779212,11,5568.140202999115
110,-1520.784367,5,5588.866942882538
111,-1514.02762,3,5598.482105970383
112,-1542.372613,15,5629.501122951508
113,-1573.961039,11,5647.329680919647
114,-1545.479324,7,5670.069067001343
115,-1529.837072,3,5679.661530971527
116,-1593.605467,147,5845.770951032639
117,-1566.382371,141,5996.839047908783
118,-1600.302988,141,6147.665714025497
119,-1588.270519,23,6186.846811056137
120,-1633.643062,67,6262.028126001358
121,-1525.018501,5,6273.692497014999
122,-1588.810098,27,6316.863234043121
123,-1583.45447,43,6367.335932016373
124,-1587.466673,75,6450.940211057663
125,-1517.951215,3,6460.572665929794
126,-1527.527954,5,6481.288347005844
127,-1604.937303,73,6562.916342020035
128,-1540.625333,11,6589.759192943573
129,-1542.80145,9,6605.552501916885
130,1925.75616,26,6638.325787067413
131,-1562.652631,15,6655.187747955322
132,-1532.720934,3,6664.825311899185
133,-1578.840242,91,6774.0224549770355
134,-1575.129751,155,6939.4840450286865
135,-1605.968533,305,7268.687890052795
136,-1525.778591,3,7278.331742048264
137,-1661.136986,69,7364.8381679058075
138,-1535.137526,5,7376.529515981674
139,-1535.353487,5,7397.316054105759
140,-1551.950842,11,7424.164582014084
141,-1543.860532,9,7439.983030080795
142,-1534.876727,3,7449.644593000412
143,-1549.528992,13,7478.588095903397
144,-1519.23506,5,7499.308788061142
145,-1526.707691,3,7508.940604925156
146,-1520.729058,13,7537.8282260894775
147,-1533.206067,9,7553.6195158958435
148,-1539.617368,5,7565.311853885651
149,-1535.166764,5,7592.018811941147
150,-1542.311974,11,7618.895436048508
151,-1613.543383,101,7729.250986099243
152,-1522.702583,13,7749.19463801384
153,-1532.440187,11,7767.07473897934
154,-1538.907929,5,7778.769427061081
155,-1549.31569,7,7801.5556399822235
156,-1625.529459,197,8026.0039710998535
157,-1521.357347,3,8035.647205114365
158,-1610.92417,45,8097.538057088852
159,-1558.809677,55,8160.694845914841
160,-1549.622954,33,8201.281045913696
161,-1562.068165,25,8233.616579055786
162,-1522.669106,5,8245.310955047607
163,-1525.972306,5,8266.029628038406
164,-1566.189885,11,8292.954324007034
165,-1539.366691,9,8308.770409107208
166,-1625.565804,41,8357.51143503189
167,-1576.470305,21,8385.629530906677
168,-1544.239848,11,8403.515402078629
169,-1553.087608,25,8444.788712024689
170,-1567.410991,43,8495.589627027512
171,-1536.311451,25,8536.837208032608
172,-1515.097266,3,8546.48305106163
173,-1574.777426,119,8675.522136926651
174,-1536.739314,7,8698.294924020767
175,-1519.701531,5,8709.979120016098
176,-1514.786663,3,8720.616303920746
177,-1584.948174,69,8798.185080051422
178,-1543.657945,7,8820.983817100525
179,-1572.72707,113,8952.767818927765
180,-1528.288626,5,8973.474292993546
181,-1586.768294,135,9127.951231002808
182,-1516.851798,3,9146.611608982086
183,-1524.186577,5,9167.336005926132
184,-1514.812037,3,9176.95395207405
185,-1543.960949,31,9215.465568065643
186,-1554.332651,189,9425.679375886917
187,-1634.133309,219,9657.582513093948
188,-1523.121991,11,9675.425148963928
189,-1582.171156,33,9715.877888917923
190,-1555.298108,83,9807.85467004776
191,-1506.915329,5,9828.542777061462
192,-1529.950644,107,9945.301035881042
193,-1600.579348,69,10032.053680896759
194,-1559.066065,51,10091.079588890076
195,-1524.821556,3,10100.75559091568
196,-1558.699673,51,10168.828310012817
197,-1516.05973,3,10178.464390993118
198,-1526.27027,5,10199.195028066635
199,-1684.76391,161,10380.30988407135
200,-1539.230206,7,10394.085675001144
201,-1513.696115,15,10425.090485095978
202,-1611.480998,73,10506.695997953415
203,-1596.689775,29,10543.023535013199
204,-1583.628382,15,10564.993166923523
205,-1519.223749,3,10574.625758886337
206,-1535.7589,5,10586.294131040573
207,-1519.607664,3,10604.942168951035
208,1980.552999,14,10634.396605968475
209,-1515.061328,5,10641.063019037247
210,-1534.871638,21,10669.200684070587
211,-1518.529756,5,10689.931969881058
212,-1538.205644,5,10701.622308015823
213,-1560.677706,9,11508.74398803711
214,-1550.930453,5,11520.428487062454
215,-1563.070645,21,11557.666296958923
216,-1562.561842,31,11605.180800914764
217,-1526.991584,5,11625.914535045624
218,-1522.047203,5,11637.583031892776
219,-1533.963428,11,11664.45554304123
220,-1564.073552,61,11742.809981107712
221,-1519.553809,3,11752.424814939499
222,-1528.426239,5,11773.100689888
223,-1634.692202,41,11830.84629893303
224,-1551.972493,15,11861.856910943985
225,-1545.821013,15,11892.82853102684
226,-1570.502006,69,11979.499898910522
227,-1519.101274,3,11989.121568918228
228,-1563.165402,13,12009.099518060684
229,-1545.97715,17,12042.136106014252
230,-1540.646035,5,12053.83019900322
231,-1561.639067,9,12069.625497102737
232,-1542.426579,5,12081.324969053268
233,-1520.275612,5,12102.001530885696
234,-1532.031135,13,12122.950974941254
235,-1653.987956,177,12320.788098096848
236,-1506.410256,1,12338.389039039612
237,-1628.738226,60,12407.267479896545
238,-1600.13965,111,12528.10943698883
239,-1529.291647,15,12559.133441925049
240,-1609.437064,251,12824.262669086456
241,-1494.643199,125,12980.590487957
242,-1576.034342,123,13113.65525007248
243,-1532.496988,5,13134.354875087738
244,-1528.176662,3,13143.982251882553
245,-1644.958473,157,13321.272867918015
246,-1576.432559,113,13444.130916118622
247,-1548.233311,83,13545.282341957092
248,-1603.4283,69,13622.839302062988
249,-1584.584043,13,13642.735045909882
250,-1547.437259,5,13654.433870077133
251,-1641.184193,233,13900.769260883331
252,-1520.232968,3,13910.391082048416
253,-1530.191979,21,13947.565049886703
254,-1574.469404,25,13979.79969906807
255,-1518.141992,3,13989.41635799408
256,-1715.369584,549,14570.379702091217
257,-1701.724397,149,14739.131705999374
258,-1530.39259,25,14771.380461931229
259,-1554.469179,61,14840.676763057709
260,-1530.373009,5,14852.366657018661
261,-1591.979883,43,14912.24572110176
262,-1539.488098,55,14984.414962053299
263,-1556.440607,319,15319.399430036545
264,-1538.75199,5,15331.09002494812
265,-1640.390334,57,15396.301299095154
266,-1481.11764,225,15643.535043001175
267,-1619.788501,77,15729.430147886276
268,-1590.7038,25,15761.64362502098
269,-1697.646763,585,16370.460489034653
270,-1588.656204,59,16437.705007076263
271,-1556.888295,79,16525.64429998398
272,-1525.408581,237,16776.086713075638
273,-1602.026538,45,16828.94325900078
274,-1544.203834,27,16863.251769065857
275,-1522.990503,3,16872.873538017273
