index,r,l,t
0,-1907.606235,135,54.81955599784851
1,-1532.532043,9,78.06842494010925
2,-1560.836057,27,101.64367389678955
3,-1559.825684,21,122.07434105873108
4,-1589.971715,36,142.62724208831787
5,-1563.373286,24,159.0246651172638
6,-1534.883309,15,176.38904094696045
7,-1522.137035,7,189.53622388839722
8,-3693.611197,299,345.47144293785095
9,-1533.600438,7,358.61642503738403
10,1981.716527,36,386.2941200733185
11,-1525.040894,11,396.5436489582062
12,-1649.12657,83,449.2703719139099
13,-1557.568654,43,481.07838010787964
14,-1552.108151,11,496.3171510696411
15,-1764.85315,142,573.1537179946899
16,-1741.047374,78,607.4699220657349
17,-1618.955723,29,623.946809053421
18,-1810.023007,145,704.8358280658722
19,-2356.117578,257,835.6909630298615
20,-1571.46439,33,862.330039024353
21,-1537.282792,9,876.4875590801239
22,-1738.095215,140,955.2888360023499
23,-1673.127836,51,991.3583149909973
24,-1652.837552,47,1034.3861401081085
25,-1811.720634,179,1137.0511260032654
26,-4246.981341,704,1494.5477979183197
27,-1530.003416,7,1507.6872670650482
28,-1546.64205,11,1522.9218649864197
29,-1548.309069,13,1539.210216999054
30,-1551.022187,13,1555.4904029369354
31,1624.052587,190,1663.0450749397278
32,-1585.739755,35,1685.7560079097748
33,-1533.087181,7,1698.9064059257507
34,-1547.073813,9,1713.1080179214478
35,-1760.899452,76,1749.4398229122162
36,-2135.787912,241,1849.58696103096
37,-2101.504236,167,1945.8559589385986
38,-1745.16986,77,1995.3009459972382
39,-2250.331233,153,2093.460902929306
40,-1611.566843,53,2139.619828939438
41,-1525.29941,7,2152.765508890152
42,-1580.380768,45,2185.715977907181
43,-1791.859153,79,2236.3498060703278
44,-2146.742568,249,2375.2785160541534
45,-1582.243935,39,2414.127350091934
46,-1566.883154,29,2438.733850955963
47,-1957.105191,209,2526.3912329673767
48,-1548.404283,15,2543.686844110489
49,-2097.918088,305,2691.4815599918365
50,-1547.280251,15,2708.7848699092865
51,-1534.072987,13,2725.078248023987
52,-1542.239431,13,2741.34334397316
53,-1752.630165,111,2808.6320691108704
54,-1629.14571,47,2851.700026035309
55,-1596.158493,47,2885.6772809028625
56,-1589.256674,63,2937.0226769447327
57,-1799.356645,107,3002.1495490074158
58,-2954.578749,455,3207.763417005539
59,-1530.50801,11,3232.0422179698944
60,-1543.238877,13,3257.306286096573
61,-1559.082266,21,3277.7509829998016
62,-2991.640139,695,3648.9427559375763
63,-1646.186791,57,3688.1163609027863
64,-2099.0107,285,3817.2831358909607
65,-1542.717719,17,3844.6488859653473
66,-1558.267912,21,3874.185986995697
67,-1589.2725,35,3901.9006168842316
68,-1555.671301,19,3921.3223791122437
69,-5059.074086,1359,4619.84911608696
70,-7933.160645,1463,5308.007420063019
71,-1967.909533,248,5402.14363694191
72,-4511.484881,1066,5914.522037982941
73,-2083.980633,193,6015.276258945465
74,-5479.03362,1188,6621.978327989578
75,-1663.681215,83,6674.587146997452
76,-1828.1212,261,6813.814894914627
77,-1956.450368,179,6916.431773900986
78,-2017.502082,224,7022.427999019623
79,-10471.033278,2437,8222.933190107346
80,-1580.021231,25,8245.435250997543
81,-1770.051043,117,8315.884222984314
82,-2973.019213,354,8464.069129943848
83,-1555.08303,43,8495.922200918198
84,-1582.968938,35,8523.616517066956
85,-1550.175067,13,8539.905240058899
86,-1813.170232,139,8630.917442083359
87,1975.878999,14,8647.17135810852
88,-6349.590492,1173,9261.608613014221
89,-1552.626577,21,9282.076155900955
90,-1528.298874,17,9300.418036937714
91,-1546.83016,17,9318.751163959503
92,1979.366112,43,9338.373819112778
