index,r,l,t
0,-1701.511016,1342,306.53889298439026
1,-1376.865482,1375,595.8614070415497
2,-66.878108,17,607.1258039474487
3,-66.309402,19,617.4065101146698
4,-137.206841,62,634.2651920318604
5,-737.924369,1062,852.3213920593262
6,-121.452151,46,864.9341039657593
7,-113.356996,36,878.4885098934174
8,-1260.789187,2001,1284.5730619430542
9,-1228.251672,826,1436.0772569179535
10,-727.424897,1724,1811.87069606781
11,-1462.534994,149,1852.0211329460144
12,-642.008972,505,2015.7706849575043
13,-802.537957,1219,2283.831598997116
14,-287.209664,60,2339.794676065445
15,-104.344617,95,2384.4453539848328
16,-2382.697377,2001,2853.633157014847
17,-232.975515,337,2918.6831500530243
18,-76.512124,42,2930.137417078018
19,-82.139769,41,2946.7817149162292
20,-74.844832,20,2954.9873991012573
21,-65.264788,18,2966.284341096878
22,-356.376221,487,3078.625324010849
23,-357.998037,11,3086.7687199115753
24,-58.476907,8,3094.9246859550476
25,-206.946458,9,3103.247638940811
26,-2903.991634,602,3237.2038140296936
27,-1269.737943,867,3471.6444039344788
28,-404.330826,36,3497.0952339172363
29,-2002.523429,77,3534.0781989097595
30,-66.188186,18,3558.3467190265656
31,-1172.470288,188,3607.4446370601654
32,-24377.268278,2001,4090.871260881424
33,-33.667922,187,4134.499106884003
34,-591.509264,2001,4540.603777885437
35,-1135.777556,2001,4955.058278083801
36,-297.945043,444,5054.585453987122
37,-73.178089,19,5058.756133079529
38,-63.31231,14,5067.91600894928
39,-60.362927,8,5076.019954919815
40,-57.066407,6,5083.666802883148
41,-2019.647253,2001,5529.7627120018005
42,-378.056144,606,5656.402621984482
43,-112.158487,103,5679.223016023636
44,-66.543256,14,5689.453042984009
45,-74.965958,19,5698.653568983078
46,-64.743084,12,5721.5925669670105
47,-53.861818,5,5728.657537937164
48,-57.538639,11,5737.788959026337
49,-61.559562,8,5745.896768093109
50,-58.964943,8,5754.006913900375
51,-878.286825,2001,6143.268275976181
52,-2085.047094,2001,6530.964932918549
53,-600.473822,1103,6745.252213001251
54,-605.347324,2001,7135.101305961609
55,-1588.711135,2001,7531.773231983185
