index,r,l,t
0,-1428.559434,272,125.1893401145935
1,-1084.142119,21,141.53650999069214
2,-1030.523313,9,155.7444200515747
3,-1046.940677,23,186.29843306541443
4,-1132.411193,45,219.2396891117096
5,1700.668967,187,310.92294096946716
6,-1855.648389,447,533.8934769630432
7,-1041.414369,9,548.1033170223236
8,-1091.768257,27,571.6763300895691
9,-1056.391795,15,589.0253179073334
10,-1041.773011,11,613.3260068893433
11,-1047.100448,9,642.5905408859253
12,-1101.945729,39,681.4894139766693
13,-1036.526509,11,696.7171111106873
14,-1028.659336,7,709.8936460018158
15,-1037.377196,9,724.0699338912964
16,-1017.819832,27,756.7874190807343
17,-1133.889589,55,794.9458999633789
18,-2031.532962,447,1037.5216889381409
19,-1180.738962,149,1124.452141046524
20,-1143.939025,63,1166.6772630214691
21,-1028.254039,7,1179.829185962677
22,-1045.724446,21,1200.3108959197998
23,-1130.673409,49,1235.283963918686
24,-1127.440203,51,1271.3284599781036
25,-1865.22842,331,1453.0467569828033
26,-2544.760823,485,1714.9812529087067
27,-1049.716746,13,1740.3018729686737
28,-2520.297291,423,1970.2561869621277
29,-1019.842141,5,1982.373573064804
30,-1028.063731,7,1995.528184890747
31,-1137.472025,59,2044.8533890247345
32,-1020.133008,7,2057.988914012909
33,-1024.610851,11,2073.2115869522095
34,-1224.945354,93,2140.162568092346
35,-1018.636168,9,2154.3173360824585
36,-1071.231422,25,2176.8756589889526
37,-1144.954711,53,2213.90722489357
38,-1026.477599,7,2236.0896689891815
39,-1155.7177,49,2280.068092107773
40,-1039.422801,9,2294.2550179958344
41,-1020.487629,7,2307.401225090027
42,-1017.262881,5,2319.5303149223328
43,-1020.982875,7,2332.697135925293
44,-1149.714624,49,2376.7526350021362
45,1980.816649,10,2390.982848882675
46,-1108.657413,69,2431.388324022293
47,-1028.157799,7,2444.5387320518494
48,-1021.516905,7,2457.690395116806
49,-1021.373471,7,2470.8268179893494
50,-1020.857433,7,2483.997980117798
51,-1021.681999,7,2497.171117067337
52,-1016.458833,5,2509.2862589359283
53,-1023.071889,7,2522.4289829730988
54,-1170.989037,55,2569.643583059311
55,-1454.296398,217,2692.1393749713898
56,-1024.367114,7,2705.308340072632
57,-1021.978771,7,2718.485064983368
58,-1023.203079,7,2731.674304008484
59,-1996.817923,335,2924.2899980545044
60,-1185.068315,71,2979.7306809425354
61,-1063.807567,25,3011.286432981491
62,-1340.423596,117,3090.6418120861053
63,-1495.839891,181,3203.453672885895
64,-1031.909558,7,3216.6140460968018
65,-5570.988947,1147,3831.717674970627
66,-1034.380284,11,3846.9699749946594
67,-11487.022959,4001,5947.982348918915
68,-10371.63278,2559,7283.543224096298
69,-1152.590167,109,7349.65710401535
70,-1911.65168,461,7608.2070989608765
71,-1062.445859,35,7644.970972061157
72,-1150.998756,145,7739.059279918671
73,-1238.196217,167,7835.56257891655
74,-1071.899172,39,7865.357712984085
75,-1041.814467,23,7886.810576915741
76,-1185.266591,105,7951.004878997803
77,-1120.756525,63,7993.101051092148
78,-1488.180936,225,8119.700048923492
79,-1132.960466,103,8182.895952939987
80,-1055.235252,41,8222.78065109253
81,-1080.51591,61,8273.089368104935
82,-1649.539305,209,8391.392297029495
83,-3665.877875,847,8850.503226041794
84,-1509.647231,267,9008.014375925064
85,-3247.266667,687,9375.015764951706
86,-1577.675626,317,9549.566298007965
87,-3618.316664,821,9986.408653974533
88,-2360.837866,653,10335.732104063034
89,-3403.748258,579,10655.52381491661
90,-1924.546095,551,10951.490628957748
91,-12055.189552,4001,13042.819344043732
92,-9867.241165,4001,15129.142472982407
93,-10720.275131,4001,17215.73516011238
94,-12477.974849,3233,18902.930561065674
95,1981.785609,16,18920.20569205284
96,-11782.351733,4001,21006.93411898613
97,-12845.018752,4001,23093.04770708084
98,-1915.731568,1980,24127.14233994484
99,-10079.032257,3113,25751.890872955322
100,-1781.989982,383,25969.88732099533
101,-11103.818712,4001,28060.70365691185
102,-1747.680489,269,28205.400984048843
103,-6181.646304,1773,29137.592878103256
104,-1124.791068,71,29184.0071349144
105,1550.103974,334,29375.995279073715
106,-5460.79664,1293,30053.606026887894
107,1402.055937,326,30232.43496990204
108,-3601.921105,1123,30820.912708044052
109,-1230.012206,123,30894.444446086884
110,-14230.584476,4001,32984.994936943054
111,-7403.738357,4001,35071.743967056274
112,-15203.480783,4001,37156.94267702103
113,-15407.573798,4001,39242.807801008224
114,-7258.460289,4001,41328.56933903694
115,-8897.535145,4001,43414.46267294884
116,-11333.425454,4001,45501.09839105606
117,1870.370432,100,45557.04585790634
118,-12340.027842,3887,47583.98172092438
119,-10552.173196,4001,49685.017121076584
120,-10357.816211,4001,51770.905356884
121,-8904.827632,4001,53857.1517469883
122,-15870.024232,4001,55942.23954296112
123,-5937.094207,4001,58028.54418897629
124,871.214252,764,58429.85506892204
125,-12687.250431,4001,60514.9898018837
126,-323.643869,1348,61220.104945898056
127,-14624.493264,4001,63305.28412389755
128,-11246.232167,4001,65391.270813941956
129,-12340.617297,4001,67476.73562598228
130,1043.8403,644,67815.47403597832
131,-12737.910573,4001,69901.21083498001
132,-8910.631466,4001,71986.25626897812
133,-14256.749714,4001,74070.98988103867
134,-11427.76731,4001,76156.246062994
135,-16481.369659,4001,78241.67077493668
136,-10735.493684,4001,80311.09387397766
137,-7472.644719,2774,81757.56095790863
138,-8593.026258,4001,83815.43743610382
139,-16441.016912,4001,85886.23560404778
140,-10214.976391,4001,87943.57563209534
141,-7622.885123,4001,90004.49248290062
142,-12890.770994,4001,92075.92869901657
143,-10803.105818,4001,94126.41891908646
144,-16064.681892,4001,96175.14379811287
145,-11172.668577,4001,98250.14753007889
146,-14562.590073,4001,100332.09485888481
147,-12154.47976,4001,102413.4411149025
148,-11507.561716,4001,104495.77442598343
