index,r,l,t
0,-2272.024307,469,115.27653694152832
1,-3445.529468,1617,448.70002007484436
2,-2017.665175,7,455.8442180156708
3,-2641.26905,409,545.5892040729523
4,-2016.904204,9,553.7696130275726
5,-2475.519693,460,669.9398379325867
6,-2121.534461,39,699.6850979328156
7,-2430.001192,149,740.918359041214
8,-2239.255264,283,814.1561980247498
9,-2181.922931,242,865.5818328857422
10,-2396.205723,214,932.9521450996399
11,-3393.865338,1400,1255.5950710773468
12,-2285.310543,254,1331.840194940567
13,-2578.344513,653,1536.6200890541077
14,-2203.323245,163,1591.4686570167542
15,-2617.543378,697,1770.3588089942932
16,-2235.394142,238,1835.188539981842
17,-2322.380557,267,1921.1546380519867
18,-2046.29922,54,1955.0495879650116
19,-2031.215062,44,1984.865098953247
20,-2068.714388,21,2010.627403974533
21,-2109.529939,76,2051.6056320667267
22,-2438.620475,369,2176.0924348831177
23,-2217.365014,230,2257.671318054199
24,-2060.910564,49,2288.5824320316315
25,-2102.143307,108,2339.59330201149
26,-2247.487318,313,2449.909411907196
27,-2676.134702,598,2650.4357481002808
28,-2943.240106,777,2920.2983520030975
29,-2260.05027,244,3001.1263229846954
30,-2040.241518,21,3027.094264984131
31,-2030.270292,11,3036.292979001999
32,-2089.753722,57,3054.734757900238
33,-2040.21164,12,3077.1017100811005
34,-2039.814615,15,3100.48823595047
35,-2115.979811,93,3135.1968059539795
36,-2163.426033,132,3182.4481461048126
37,-2498.408805,379,3309.67870593071
38,-2068.167325,24,3336.227919101715
39,-2476.851347,441,3477.5061349868774
40,-2044.814429,15,3500.8439779281616
41,-2076.949186,35,3531.6363410949707
42,-2017.565645,5,3538.764372110367
43,-2020.396253,9,3546.956171989441
44,-2212.276055,180,3621.484456062317
45,-2434.199457,321,3744.030457019806
46,-2015.073508,5,3751.1467928886414
47,-2033.819081,12,3760.363415956497
48,-2036.492731,11,3769.5827848911285
49,-2017.819105,5,3776.698554992676
50,-2021.306542,9,3784.869626045227
51,-2013.191204,5,3791.989401102066
52,-2270.067665,149,3843.1266651153564
53,-2038.122032,17,3854.1587901115417
54,2940.456324,52,3885.0880041122437
55,-2054.120825,28,3896.109302997589
56,-2023.718823,9,3917.3618969917297
57,-2031.307453,20,3929.7560629844666
58,-2017.071959,8,3937.9400219917297
59,-2020.920135,8,3946.1109099388123
60,-2020.072515,5,3953.1916210651398
61,-2034.352302,16,3962.4612550735474
62,-2020.906108,8,3970.633373975754
63,-2020.912972,15,3994.005075931549
64,-2060.505479,35,4007.590684890747
65,-2024.658211,8,4015.7932980060577
66,-2015.176769,8,4023.9522631168365
67,-2016.1707,9,4032.1274840831757
68,-2049.049425,17,4040.4136819839478
69,-2010.505952,5,4047.5223939418793
70,-2027.855194,11,4056.712569952011
71,-2019.56221,15,4080.1039690971375
72,-2037.158392,17,4104.496309041977
73,-2161.757526,121,4143.700398921967
74,-2021.458902,8,4151.887552022934
75,-2010.80284,5,4158.975308895111
76,-2018.81691,9,4167.158900022507
77,-2018.315394,8,4175.327738046646
78,-2056.372344,26,4185.683571100235
79,-2068.209392,34,4197.193573951721
80,-2066.944411,38,4209.746463060379
81,-2481.264399,939,4439.75461101532
82,-2058.974957,21,4450.074464082718
83,-2038.108615,27,4463.515557050705
84,-2025.55659,8,4471.677202939987
85,-2046.462772,17,4480.928594112396
86,-2026.984186,16,4491.228782892227
87,-2033.15979,12,4499.4345099925995
88,-2021.95429,9,4507.618463039398
89,-2090.548388,34,4523.201071977615
90,-2017.878407,5,4530.321012973785
91,-2049.221078,23,4540.640017986298
92,-2020.547326,8,4548.80308008194
93,-2032.71046,12,4557.994606971741
94,-2023.585609,8,4566.140456914902
95,-2040.853107,24,4593.350567102432
96,-2027.645571,8,4601.50292801857
97,-2019.724606,5,4608.624109983444
98,-2017.340266,8,4616.741651058197
99,-2040.349567,21,4625.072556018829
100,-2080.356657,33,4637.711718082428
101,-2054.692331,19,4647.031760931015
102,-2034.60036,11,4656.239046096802
103,-2041.024159,15,4666.509521007538
104,-2013.230512,8,4674.669301986694
105,-2021.836472,9,4682.839695930481
106,-2027.556682,8,4691.045993089676
107,-2015.755013,8,4699.241378068924
108,-2176.378932,110,4728.899416923523
109,-2020.731019,9,4737.088593959808
110,-2033.079526,13,4746.322959899902
111,-2018.667799,8,4754.502655982971
112,-2020.850432,8,4762.683252096176
113,-2030.280811,13,4770.912554979324
114,-2023.529698,10,4779.080842018127
115,-2014.308805,8,4787.244676113129
116,-2017.761046,8,4795.388603925705
117,-2021.811965,9,4803.565747976303
118,-2122.010112,46,4817.229357004166
