index,r,l,t
0,64.133,2000,1024.3614430427551
1,408.591,2000,2054.15198302269
2,143.227,2000,3085.447299003601
3,115.256,2000,4114.8575530052185
4,62.362,2000,5144.5118799209595
5,46.356,118,5207.227818965912
6,102.379,2000,6236.252357959747
7,56.061,2000,7264.194819927216
8,160.467,2000,8292.757287979126
9,120.652,2000,9318.33071398735
10,54.191,2000,10344.22850894928
11,69.823,2000,11368.24850988388
12,53.28,2000,12393.602741003036
13,137.04,2000,13416.98275589943
14,104.815,2000,14441.919987916946
15,55.149,2000,15465.289546966553
16,130.381,2000,16490.42219209671
17,50.249,2000,17514.604429006577
18,40.476,2000,18540.640846014023
19,-136.723,2000,19096.765471935272
20,-139.075,2000,19373.387177944183
21,-83.063,2000,19648.848691940308
22,-193.102,2000,19928.367979049683
23,20.883,2000,20207.64359998703
24,-149.078,2000,20486.387491941452
25,-143.051,2000,20764.0567278862
26,-95.051,2000,21040.65713906288
27,-121.046,2000,21317.24918794632
28,-71.111,2000,21593.094106912613
29,-103.106,2000,21869.495146989822
30,-121.089,2000,22146.00258398056
31,88.97,2000,22425.682151079178
32,-135.077,2000,22703.423295021057
33,-159.052,2000,22980.120105981827
34,-65.078,2000,23256.69123196602
35,-165.038,2000,23534.32768201828
36,-177.068,2000,23811.170830965042
37,-153.042,2000,24086.798681020737
38,426.917,2000,24365.430165052414
39,-19.034,2000,24644.006650924683
40,-183.075,2000,24924.785351991653
41,-131.042,2000,25200.389198064804
42,14.941,2000,25479.73135495186
43,-169.081,2000,25758.660571098328
44,-153.08,2000,26038.25790309906
45,-73.08,2000,26317.722765922546
46,20.894,2000,26595.17372393608
47,-143.061,2000,26871.66063308716
48,-143.108,2000,27149.437669992447
49,-159.093,2000,27423.37039399147
50,-135.062,2000,27701.00102996826
51,-171.026,2000,27980.580878019333
52,-35.03,2000,28257.18911600113
53,-117.047,2000,28532.73307299614
54,-117.073,2000,28811.314100027084
55,18.965,2000,29089.819219112396
56,-101.078,2000,29366.326847076416
57,178.958,2000,29643.930912971497
58,-21.077,2000,29917.67674088478
59,-177.045,2000,30194.191303014755
60,-173.066,2000,30473.195076942444
61,-129.069,2000,30753.81335091591
62,-123.09,2000,31033.554814100266
63,-177.056,2000,31308.19727396965
64,-71.07,2000,31586.804781913757
65,54.961,2000,31866.094347953796
66,-177.045,2000,32142.55282998085
67,-135.096,2000,32421.102561950684
68,-151.099,2000,32699.68535399437
69,-181.055,2000,32977.24659895897
70,-73.009,2000,33253.89082789421
71,-151.112,2000,33531.47606110573
72,-117.111,2000,33810.92931699753
73,-177.084,2000,34088.3730700016
74,-167.052,2000,34369.059218883514
75,-135.056,2000,34645.02339601517
76,-149.068,2000,34917.71381497383
77,-101.039,2000,35193.98846292496
78,-189.039,2000,35469.8656129837
79,774.953,2000,35745.26434111595
80,-123.044,2000,36018.70341300964
81,714.917,2000,36294.224709033966
82,186.927,2000,36569.47725009918
83,196.938,2000,36846.670438051224
84,-183.062,2000,37120.29043889046
85,-149.092,2000,37395.60871601105
86,-169.086,2000,37672.107270002365
87,-143.067,2000,37946.352519989014
88,-103.047,2000,38224.06017899513
89,-121.038,2000,38500.071472883224
90,-165.099,2000,38776.23027205467
91,-185.066,2000,39049.8090069294
92,-189.072,2000,39327.89796304703
93,-143.097,2000,39604.59940600395
94,-193.072,2000,39880.512734889984
95,-61.101,2000,40155.90218400955
96,-159.073,2000,40429.209284067154
97,-123.048,2000,40701.839186906815
98,-83.082,2000,40973.68882393837
99,768.95,2000,41246.438323020935
