TimeStep,HeadingError,ChangeInDistance,ClosestObstacle,LinearSpeed,AngularPenalty,PathDeviation,DistanceToGoal,TotalReward
1,0.94,-0.0829999999999993,4.097,0.39,-0.38,0.06,4.634,1.143
2,1.35,-0.08400000000000052,4.184,-0.25,-0.52,0.15,4.55,0.73
3,1.4,0.09700000000000042,4.342,-0.24,0.08,0.03,4.647,1.796
4,1.33,-0.025000000000000355,4.15,0.34,0.1,0.02,4.622,1.35
5,1.22,-0.04600000000000026,4.208,-0.28,0.35,0.1,4.576,1.058
6,0.95,0.20700000000000074,4.461,-0.44,-0.27,0.19,4.783,2.287
7,0.97,0.22799999999999976,4.44,-0.56,-0.39,0.53,5.011,1.959
8,1.19,0.07099999999999973,4.39,0.08,-0.29,0.66,5.082,1.091
9,1.49,-0.006999999999999673,4.249,0.4,-0.45,0.56,5.075,0.649
10,1.92,0.05999999999999961,4.243,-0.22,-0.59,0.6,5.135,0.549
11,2.05,-0.0649999999999995,4.19,-0.38,0.02,0.65,5.07,-0.018
12,2.1,-0.009000000000000341,4.086,0.26,-0.38,0.69,5.061,0.229
13,2.5,0.16000000000000014,3.871,0.4,-0.52,0.68,5.221,0.809
14,3.06,0.07899999999999974,3.78,-0.24,-0.66,0.72,5.3,-0.105
15,2.72,0.1720000000000006,3.555,0.37,-0.78,0.9,5.472,0.415
16,2.33,0.04699999999999971,3.626,-0.27,-0.0,0.96,5.519,0.028
17,2.48,0.06200000000000028,3.44,0.37,0.37,1.05,5.581,-0.047
18,2.48,0.0,3.538,0.0,0.0,1.05,5.581,-0.32
19,2.44,0.11599999999999966,3.389,0.38,-0.37,1.2,5.697,0.09
20,2.28,0.1200000000000001,3.473,-0.24,-0.12,1.35,5.817,-0.014
21,2.08,-0.007000000000000561,3.408,0.38,-0.37,1.38,5.81,-0.522
22,2.14,0.025000000000000355,3.32,0.0,0.23,1.48,5.835,-0.513
23,2.31,-0.0990000000000002,3.42,-0.36,0.35,1.34,5.736,-1.185
24,2.31,-0.0649999999999995,3.552,-0.03,-0.25,1.21,5.671,-0.796
25,1.91,-0.10099999999999998,3.76,-0.37,-0.37,1.04,5.57,-0.713
26,1.79,-0.06600000000000072,3.936,-0.51,0.25,0.85,5.504,-0.298
27,1.89,-0.03799999999999937,3.909,0.15,0.38,0.79,5.466,-0.054
28,1.95,-0.04300000000000015,4.086,-0.4,-0.26,0.73,5.423,-0.121
29,1.72,-0.04600000000000026,4.125,0.22,-0.38,0.67,5.377,0.13
30,1.75,0.025000000000000355,3.963,0.38,0.24,0.75,5.402,0.472
31,2.07,0.08000000000000007,3.653,0.52,0.38,0.95,5.482,0.386
32,2.31,0.26400000000000023,3.298,0.66,-0.24,1.41,5.746,0.808
33,2.28,0.23899999999999988,2.943,0.76,-0.34,1.86,5.985,0.26
34,2.41,0.12699999999999978,2.746,0.0,0.26,2.26,6.112,-0.846
35,2.51,0.09199999999999964,2.58,0.38,0.02,2.34,6.204,-1.011
36,2.67,0.02400000000000002,2.59,-0.24,0.36,2.44,6.228,-1.743
37,3.05,-0.1849999999999996,2.739,-0.37,0.49,2.21,6.043,-2.811
